dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.118412,15.358141,20.950486,5.529563,-1.942527,-27.928373,0.286406
0.020000,6.223963,15.387869,21.060144,5.482882,-2.334034,-19.575343,0.262941
0.020000,6.329094,15.414935,21.168703,5.427962,-2.745996,-20.598122,0.241261
0.020000,6.433523,15.439511,21.275984,5.364039,-3.196130,-22.506688,0.221209
0.020000,6.537064,15.461777,21.381893,5.295450,-3.429455,-11.666233,0.202630
0.020000,6.639478,15.481891,21.486263,5.218480,-3.848511,-20.952804,0.185400
0.020000,6.740611,15.500014,21.589007,5.137233,-4.062380,-10.693471,0.169394
0.020000,6.840312,15.516297,21.690029,5.051102,-4.306541,-12.208068,0.154506
0.020000,6.938414,15.530874,21.789208,4.958920,-4.609109,-15.128371,0.140643
0.020000,7.034833,15.543885,21.886501,4.864669,-4.712524,-5.170739,0.127715
0.020000,7.129440,15.555449,21.981812,4.765531,-4.956929,-12.220251,0.115648
0.020000,7.222160,15.565686,22.075096,4.664194,-5.066833,-5.495192,0.104369
0.020000,7.312899,15.574704,22.166281,4.559278,-5.245774,-8.947096,0.093818
0.020000,7.401577,15.582604,22.255310,4.451458,-5.391030,-7.262758,0.083940
0.020000,7.488131,15.589480,22.342138,4.341361,-5.504848,-5.690939,0.074685
0.020000,7.572513,15.595424,22.426729,4.229570,-5.589530,-4.234097,0.066006
0.020000,7.654688,15.600518,22.509061,4.116623,-5.647376,-2.892303,0.057860
0.020000,7.734566,15.604836,22.589055,3.999700,-5.846132,-9.937761,0.050216
0.020000,7.812163,15.608456,22.666737,3.884073,-5.781360,3.238590,0.043035
0.020000,7.887385,15.611439,22.742018,3.764068,-6.000245,-10.944263,0.036291
0.020000,7.960237,15.613852,22.814911,3.644626,-5.972084,1.408029,0.029954
0.020000,8.030689,15.615752,22.885388,3.523847,-6.038948,-3.343166,0.023999
0.020000,8.098710,15.617194,22.953424,3.401808,-6.101953,-3.150255,0.018405
0.020000,8.164278,15.618228,23.019000,3.278829,-6.148952,-2.349974,0.013150
0.020000,8.227379,15.618901,23.082105,3.155211,-6.180908,-1.597766,0.008215
0.020000,8.287991,15.619258,23.142718,3.030664,-6.227330,-2.321100,0.003584
0.020000,8.346071,15.619340,23.200798,2.904025,-6.331992,-5.233100,6.282428
0.020000,8.401658,15.619184,23.256386,2.779354,-6.233524,4.923393,6.278359
0.020000,8.454685,15.618827,23.309413,2.651397,-6.397874,-8.217493,6.274552
0.020000,8.505195,15.618301,23.359927,2.525663,-6.286697,5.558830,6.270993
0.020000,8.553119,15.617637,23.407855,2.396403,-6.462962,-8.813234,6.267674
0.020000,8.598484,15.616863,23.453226,2.268582,-6.391062,3.595000,6.264583
0.020000,8.641281,15.616005,23.496032,2.140285,-6.414840,-1.188923,6.261711
0.020000,8.681497,15.615087,23.536258,2.011313,-6.448614,-1.688693,6.259050
0.020000,8.719122,15.614133,23.573895,1.881852,-6.473072,-1.222916,6.256594
0.020000,8.754150,15.613161,23.608937,1.752081,-6.488518,-0.772262,6.254334
0.020000,8.786586,15.612192,23.641387,1.622501,-6.479032,0.474274,6.252266
0.020000,8.816488,15.611239,23.671305,1.495898,-6.330133,7.444941,6.250379
0.020000,8.843961,15.610313,23.698794,1.374437,-6.073062,12.853581,6.248661
0.020000,8.869065,15.609427,23.723913,1.255948,-5.924448,7.430667,6.247105
0.020000,8.891958,15.608584,23.746821,1.145421,-5.526333,19.905774,6.245698
0.020000,8.912710,15.607793,23.767588,1.038359,-5.353109,8.661179,6.244431
0.020000,8.931436,15.607056,23.786329,0.937013,-5.067311,14.289925,6.243295
0.020000,8.948229,15.606377,23.803136,0.840372,-4.832019,11.764597,6.242282
0.020000,8.963222,15.605757,23.818141,0.750261,-4.505571,16.322373,6.241382
0.020000,8.976461,15.605198,23.831392,0.662537,-4.386201,5.968543,6.240591
0.020000,8.988104,15.604698,23.843046,0.582720,-3.990831,19.768491,6.239898
0.020000,8.998251,15.604255,23.853202,0.507796,-3.746198,12.231625,6.239296
0.020000,9.006970,15.603870,23.861931,0.436409,-3.569383,8.840769,6.238781
0.020000,9.014387,15.603539,23.869354,0.371195,-3.260702,15.434060,6.238343
0.020000,9.020613,15.603258,23.875587,0.311648,-2.977332,14.168489,6.237977
0.020000,9.025752,15.603025,23.880732,0.257221,-2.721346,12.799302,6.237675
0.020000,9.029907,15.602835,23.884891,0.207954,-2.463353,12.899633,6.237432
0.020000,9.033181,15.602685,23.888168,0.163880,-2.203720,12.981684,6.237240
0.020000,9.035679,15.602570,23.890669,0.125024,-1.942774,13.047274,6.237094
0.020000,9.037505,15.602486,23.892497,0.091408,-1.680809,13.098236,6.236987
0.020000,9.038765,15.602427,23.893758,0.063046,-1.418081,13.136413,6.236913
0.020000,9.039563,15.602390,23.894557,0.039950,-1.154808,13.163655,6.236867
0.020000,9.040005,15.602370,23.895000,0.022127,-0.891172,13.181817,6.236841
0.020000,9.040197,15.602361,23.895191,0.009580,-0.627316,13.192758,6.236829
0.020000,9.040243,15.602359,23.895237,0.002313,-0.363350,13.198340,6.236827
0.020000,9.040243,15.602359,23.895237,0.000000,-0.115675,12.383752,6.236827
